name,address,type,homepage,cert_date
WDC - Remote Sensing of the Atmosphere,"DLR, Münchener Straße, Oberpfaffenhofen, Weßling, Germany",w,http://wdc.dlr.de,2011
"Fish Database of Taiwan (Academia Sinica, Taiwan)","Academia Sinica, Section 2, Academia Road, Nangang District, Taipei City, Taiwan",w,http://fishdb.sinica.edu.tw,2011 
"WDC - Oceanography, Tianjin","National Marine Data & Information Service, 6th Latitude Road, Tianjin, China",w,http://www.cmoc-china.cn/,2011
"WDC - Geomagnetism, Copenhagen","Dtu Space, Diplomvej, Lyngby, Denmark",w,http://www.space.dtu.dk/English/Research/Scientific_data_and_models/World_Data_Center_for_Geomagnetism.aspx,2011
World Data Service for Geophysics,"National Centers for Environmental Infomation (NCEI) - formerly the National Geophysical Data Center, Broadway, Boulder, CO, United States",w,http://www.ngdc.noaa.gov,2011
PANGAEA - Data Publisher for Earth & Environmental Science,"Alfred-Wegener-Institut, Helmholtz-Zentrum für Polar- und Meeresforschung (AWI), Am Handelshafen, Bremerhaven, Bremen, Germany",w,https://www.pangaea.de/,2011
"WDC - Meteorology, Asheville","National Centers for Environmental Information, Patton Avenue, Asheville, NC, United States",w,https://www.ncdc.noaa.gov/wdcmet,2011
Crustal Dynamics Data Information System (CDDIS),"NASA Goddard Space Flight Center, Greenbelt Road, Greenbelt, MD, United States",w,http://cddis.nasa.gov,2013
"World Glacier Monitoring Service, Zurich","Geographisches Institut Universität Zürich, Winterthurerstrasse, Zürich, Switzerland",w,http://www.wgms.ch/,2011
WDC - Renewable Resources and Environment,"Institute of Geographic Sciences and Natural Resources Research CAS, Beijing, China",w,http://eng.wdc.cn,2011
"Flanders Marine Institute, Data Centre","Flanders Marine Institute, Wandelaarkaai, Ostend, Belgium",w,http://www.vliz.be,2011
"Incorporated Research Institutions for Seismology (IRIS), Data Services","1200 New York Avenue Northwest, D.C., DC, United States",w,http://www.iris.edu,2011
WDC - Geoinformatics and Sustainable Development,"проспект Перемоги 37/6, Kiev, Kyïv, Ukraine",w,http://wdc.org.ua,2011
